p,t,a,s,ts,mean,pop,stock
0,-3874924.455976363,-576467.1950894134,-.017696504,1,325752.03,355600,
1000,-270472.0527058091,-198329.029824588,-.0060883434,1.0176965,325752.03,355600,
2000,-143036.1757616982,-110421.9327265704,-.0033897541,1.0237849,325752.03,355600,
3000,-87276.65003641874,-70408.62570110324,-.0021614179,1.0271746,325752.03,355600,
4000,-57737.40060548668,-48851.7919796018,-.0014996618,1.029336,325752.03,355600,
5000,-41070.16989554815,-35644.76377528509,-.00109423,1.0308357,325752.03,355600,
6000,-30908.52921326563,-26853.6230562905,-.00082435779,1.03193,325752.03,355600,
7000,-23296.84413871295,-20433.03694493838,-.00062725734,1.0327543,325752.03,355600,
8000,-17906.65329067035,-15619.31381000563,-.00047948476,1.0333816,325752.03,355600,
9000,-13470.24126899633,-11488.96283262786,-.00035269043,1.033861,325752.03,355600,
10000,-9445.980270335445,-7889.320253174328,-.0002421879,1.0342137,325752.03,355600,
11000,-6310.711143455881,-4337.013814791475,-.0001331385,1.0344559,325752.03,355600,
12000,-2085.15658416589,-486.9380105764104,-.000014948118,1.0345891,325752.03,355600,
13000,0,0,0,1.034604,325752.03,355600,
14000,0,0,0,1.034604,325752.03,355600,
15000,0,0,0,1.034604,325752.03,355600,
16000,0,0,0,1.034604,325752.03,355600,
17000,0,0,0,1.034604,325752.03,355600,
18000,0,0,0,1.034604,325752.03,355600,
19000,0,0,0,1.034604,325752.03,355600,
20000,0,0,0,1.034604,325752.03,355600,
21000,0,5.784844801197512,1.7758430e-07,1.034604,325752.03,355600,
22000,25.58169546768056,44.71560312308856,1.3726883e-06,1.0346038,325752.03,355600,
23000,65.88875977740568,148.2949856995841,4.5523884e-06,1.0346024,325752.03,355600,
24000,191.1895062149611,281.2088367091043,8.6326036e-06,1.0345979,325752.03,355600,
25000,359.0413443348091,677.8426434912343,.000020808546,1.0345893,325752.03,355600,
26000,1172.982159540336,1681.760182442615,.000051627005,1.0345684,325752.03,355600,
27000,2191.250736387279,2631.687749439052,.000080788064,1.0345168,325752.03,355600,
28000,3100.4413582292,3479.043728488781,.00010680036,1.034436,325752.03,355600,
29000,4035.281074079643,4587.043664018807,.00014081397,1.0343292,325752.03,355600,
30000,5144.24142152587,5719.109038301278,.00017556633,1.0341884,325752.03,355600,
31000,6195.388361008387,6659.266051834724,.00020442746,1.0340128,325752.03,355600,
32000,7066.724538142727,7556.931224802908,.00023198416,1.0338085,325752.03,355600,
33000,8051.643272814513,8476.866723705714,.00026022451,1.0335765,325752.03,355600,
34000,8923.901667975313,9568.777419947466,.0002937442,1.0333163,325752.03,355600,
35000,10141.46419091264,10664.26013016883,.00032737353,1.0330225,325752.03,355600,
36000,11287.31022414123,11753.4203604699,.0003608088,1.0326951,325752.03,355600,
37000,12278.31064017017,12750.16958925402,.0003914072,1.0323343,325752.03,355600,
38000,13129.13796321198,13647.08757844541,.00041894097,1.0319428,325752.03,355600,
39000,14184.05319785582,14720.47853813717,.00045189212,1.0315239,325752.03,355600,
40000,15291.24903818395,15804.03564893135,.00048515538,1.031072,325752.03,355600,
41000,16348.26266030653,16816.5470660141,.00051623763,1.0305868,325752.03,355600,
42000,17375.21895590136,17967.92944267745,.00055158301,1.0300707,325752.03,355600,
43000,18645.99796129146,19200.85855627398,.00058943173,1.0295191,325752.03,355600,
44000,19767.40294036188,20461.13145964899,.0006281198,1.0289296,325752.03,355600,
45000,21220.33088238336,21753.20191446181,.00066778407,1.0283015,325752.03,355600,
46000,22325.27252439778,22991.62285411168,.00070580136,1.0276338,325752.03,355600,
47000,23712.93191470573,24428.82604290526,.0007499209,1.0269279,325752.03,355600,
48000,25147.6906945559,25820.40093926082,.00079263974,1.026178,325752.03,355600,
49000,26355.37238233535,27039.81498056175,.00083007355,1.0253854,325752.03,355600,
50000,27692.40134534756,28413.11953887913,.0008722315,1.0245553,325752.03,355600,
51000,29184.82632227515,29902.55780421692,.00091795455,1.0236831,325752.03,355600,
52000,30648.43236528539,31536.46104281418,.00096811244,1.0227652,325752.03,355600,
53000,32277.6309260735,33052.21515112311,.0010146433,1.0217969,325752.03,355600,
54000,33864.67759720902,34796.8938228317,.0010682018,1.0207824,325752.03,355600,
55000,35837.71829449748,36874.80735315867,.00113199,1.0197141,325752.03,355600,
56000,37874.01616726624,39104.58585964751,.0012004402,1.0185822,325752.03,355600,
57000,40384.33107035903,41627.25231256698,.0012778816,1.0173817,325752.03,355600,
58000,42933.86578648273,44334.71041576032,.0013609956,1.0161039,325752.03,355600,
59000,45619.92317031713,46974.26332414966,.0014420252,1.0147429,325752.03,355600,
60000,48474.22387964123,50007.02207448196,.0015351253,1.0133008,325752.03,355600,
61000,51633.56578052358,53053.64191857455,.0016286511,1.0117657,325752.03,355600,
62000,54556.5770445519,56276.63153378329,.001727591,1.0101371,325752.03,355600,
63000,58130.86950468349,59850.00936407843,.0018372873,1.0084095,325752.03,355600,
64000,61618.19928372871,63403.27343204115,.001946366,1.0065721,325752.03,355600,
65000,65462.38443927024,67370.04326787428,.0020681387,1.0046258,325752.03,355600,
66000,69527.00347946424,71599.90273382947,.0021979879,1.0025576,325752.03,355600,
67000,73855.35562829355,76186.18859060548,.0023387785,1.0003597,325752.03,355600,
68000,78638.19786514228,81169.51283116124,.0024917575,.99802089,325752.03,355600,
69000,83740.43207850517,86308.69647110259,.0026495212,.99552912,325752.03,355600,
70000,89205.16728173532,92021.78200417016,.0028249028,.99287963,325752.03,355600,
71000,95036.53145020081,98655.94834695343,.0030285595,.99005473,325752.03,355600,
72000,102134.2613327438,106165.4478194915,.0032590877,.98702615,325752.03,355600,
73000,109957.681190916,114416.5744902071,.0035123825,.98376709,325752.03,355600,
74000,119179.2624943766,123547.8826382175,.0037926971,.98025471,325752.03,355600,
75000,128557.5126041578,133201.0478134397,.0040890318,.97646201,325752.03,355600,
76000,138413.6689445852,144404.0249172743,.0044329432,.97237295,325752.03,355600,
77000,150645.5722381425,156356.3914317923,.0047998591,.96794003,325752.03,355600,
78000,162219.1686834015,168646.7177179111,.00517715,.96314013,325752.03,355600,
79000,175768.2846346871,182791.6057377042,.0056113726,.95796299,325752.03,355600,
80000,190940.4881244024,199611.616053641,.0061277165,.95235163,325752.03,355600,
81000,208707.5854948734,218468.7255552121,.0067065959,.94622391,325752.03,355600,
82000,229209.6203339779,239926.9451827992,.0073653245,.93951732,325752.03,355600,
83000,250780.8169815393,263402.2230803124,.0080859726,.93215197,325752.03,355600,
84000,275465.7535432704,287951.6325448627,.0088395951,.92406601,325752.03,355600,
85000,301820.3671066043,316181.0592033821,.009706188,.9152264,325752.03,355600,
86000,330650.0823243278,348204.5646811376,.010689252,.90552026,325752.03,355600,
87000,365983.7707793549,384088.1318314629,.011790813,.894831,325752.03,355600,
88000,402675.8059525423,422793.3563094275,.012978993,.88304019,325752.03,355600,
89000,445666.1602490122,470496.3367911429,.014443388,.87006116,325752.03,355600,
90000,495569.044027249,523846.387576315,.016081139,.85561782,325752.03,355600,.07
91000,553390.3558496775,588974.0215424811,.018080439,.83953667,325752.03,355600,.07
92000,625023.4523619075,665682.9413197881,.020435264,.82145619,325752.03,355600,.07
93000,707830.120224027,755232.6164752276,.023184279,.80102098,325752.03,355600,.07
94000,805986.3811997158,867276.7463925993,.026623832,.77783668,325752.03,355600,.07
95000,933748.934782755,1016146.56075625,.031193865,.75121284,325752.03,355600,.07
96000,1110750.043308137,1245466.69751312,.038233582,.72001898,325752.03,355600,.07
97000,1398630.059527399,1650199.303616092,.05065814,.6817854,325752.03,355600,.07
98000,1997642.604886812,2730757.691221555,.083829336,.63112724,325752.03,355600,.07
99000,3818217.794632134,4052819.92678854,.012441427,.54729789,325752.03,35560,.2
99100,4197069.452110079,4439953.69503467,.013629857,.5348565,325752.03,35560,.2
99200,4735554.805887393,5066876.016065868,.015554396,.52122664,325752.03,35560,.2
99300,5360801.848820999,5754266.862864523,.017664563,.50567222,325752.03,35560,.2
99400,6176002.842330466,6668923.63637181,.020472394,.48800766,325752.03,35560,.2
99500,7289873.181748945,8039934.141178004,.024681149,.46753529,325752.03,35560,.2
99600,9281236.472387306,10683985.05340973,.03279791,.44285414,325752.03,35560,.2
99700,12181574.88836524,14240232.66008707,.043714948,.41005623,325752.03,35560,.2
99800,16774884.90802747,22366359.18595963,.068660691,.36634126,325752.03,35560,.2
99900,30349398.10635384,31575084.19342894,.0096929809,.29768059,325752.03,3560,.5
99910,32298249.01367893,32423290.85916726,.0099533657,.28798759,325752.03,3560,.5
99920,32761409.01551719,33745894.4260923,.01035938,.27803424,325752.03,3560,.5
99930,35507093.46566952,37884500.60955174,.011629858,.26767486,325752.03,3560,.5
99940,40725212.80099496,43516779.35741197,.013358866,.25604498,325752.03,3560,.5
99950,46895797.66756083,51206336.90658715,.015719421,.24268612,325752.03,3560,.5
99960,56375306.46272286,61661945.39746844,.018929105,.22696671,325752.03,3560,.5
99970,67542239.89871545,77692672.18896174,.023850249,.2080376,325752.03,3560,.5
99980,90963245.18341899,113799136.0226085,.034934282,.18418735,325752.03,3560,.5
99990,146892444.8771338,486194953.4273301,.14925307,.14925307,325752.03,3560,.94999999
